report_id,category,narrative
220,STEERING,Power steering assist cut out briefly while turning. steering fluid level was found to be low on inspection. resulted in an alignment and steering rack replacement.
436,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. Also, problem has occurred over 2 separate occasions. vehicle was undriveable until repaired."
458,TRANSMISSION,"Transmission slips noticeably between second and third gear. Also, worse when the transmission fluid is cold. transmission was rebuilt under warranty."
553,TIRES,Tire lost pressure repeatedly despite no visible puncture. noticed at around 3200 miles. still waiting on a warranty determination.
155,BRAKES,"Brakes felt like they were not engaging at all for a moment. Separately, occurred during a panic stop situation. nearly resulted in a collision."
327,FUEL SYSTEM,"Visible fuel leak near the fuel line was discovered. Separately, technician found a loose fuel line connection. fuel line was replaced under warranty."
45,ENGINE,Check engine light came on and the vehicle started running rough. problem is intermittent and hard to reproduce on demand. had to pull over immediately for safety.
152,BRAKES,Brakes felt like they were not engaging at all for a moment. happened during normal city driving at around 3200 miles. nearly resulted in a collision.
72,ELECTRICAL SYSTEM,"Battery drains completely overnight even when the vehicle is off. Also, problem has occurred at least 4 times so far. required replacing the battery twice."
148,BRAKES,Brakes felt like they were not engaging at all for a moment. occurred during a panic stop situation. nearly resulted in a collision.
30,ENGINE,"The engine stalled without warning while driving at highway speed. In addition, no warning lights appeared before the failure. this is the second engine-related repair this year."
393,AIRBAGS,"Airbag deployed unexpectedly with no collision. In addition, no diagnostic trouble code could be retrieved initially. scheduled for immediate inspection."
504,STRUCTURE,Door does not close flush with the body panel. vehicle has never been in an accident. still awaiting a decision from the manufacturer.
473,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. Separately, began around 44800 miles. transmission was rebuilt under warranty."
366,AIRBAGS,"Airbag did not deploy during a low speed collision. In addition, dealer says a sensor may need replacement. scheduled for immediate inspection."
383,AIRBAGS,Passenger airbag indicator shows off even with a passenger seated. no diagnostic trouble code could be retrieved initially. vehicle safety is a serious concern given non-deployment.
426,TRANSMISSION,Vehicle hesitates for a few seconds before engaging a gear. began around 22000 miles. still under evaluation by the service department.
149,BRAKES,"Abs warning light stays on continuously. Also, occurred during a panic stop situation. nearly resulted in a collision."
518,STRUCTURE,"Trunk lid does not align properly with the rear panel. In addition, dealer attributed it to a manufacturing defect during inspection. still awaiting a decision from the manufacturer."
104,ELECTRICAL SYSTEM,Infotainment screen goes black intermittently while driving. started happening around 31500 miles. still unresolved after multiple visits.
8,ENGINE,"Noticed a strong burning smell coming from the engine bay. Also, dealer has seen the vehicle twice for this same issue. still waiting on a diagnosis from the service department."
579,TIRES,Vibration at highway speed traced to an out-of-round tire. noticed at around 58200 miles. tire was replaced under manufacturer warranty.
165,BRAKES,"Brakes felt like they were not engaging at all for a moment. In addition, this is the second brake-related complaint for this vehicle. nearly resulted in a collision."
316,FUEL SYSTEM,Vehicle would not accept a full tank without shutting off early. occurs mostly after refueling. reported immediately due to safety concerns.
261,SUSPENSION,Clicking noise from the rear suspension at low speed. worse on uneven or gravel roads. component was replaced under warranty.
194,STEERING,"Clunking noise from the steering column when turning at low speed. Also, noticed this around 15400 miles. was scheduled for a steering system inspection."
543,TIRES,"Sidewall bulge appeared on one tire with normal use. In addition, noticed at around 3200 miles. still waiting on a warranty determination."
278,SUSPENSION,"Loud clunking noise from the front suspension over bumps. In addition, worse on uneven or gravel roads. still being evaluated by the service department."
230,STEERING,"Clunking noise from the steering column when turning at low speed. Also, steering fluid level was found to be low on inspection. resulted in an alignment and steering rack replacement."
596,TIRES,Tire showed unusual wear pattern well before expected tread life. noticed at around 58200 miles. still waiting on a warranty determination.
338,FUEL SYSTEM,"Visible fuel leak near the fuel line was discovered. Separately, noticed at around 58200 miles. vehicle was not driven until inspected due to fire risk concerns."
239,STEERING,Vehicle wandered on the highway and required constant correction. noticed this around 15400 miles. was scheduled for a steering system inspection.
199,STEERING,"Clunking noise from the steering column when turning at low speed. Separately, noticed this around 31500 miles. made the vehicle difficult to control."
20,ENGINE,"Engine lost power suddenly and would not accelerate. In addition, this happened at around 8700 miles. vehicle was towed to the dealership."
390,AIRBAGS,Airbag deployed unexpectedly with no collision. warning light has been on since around 8700 miles. vehicle safety is a serious concern given non-deployment.
169,BRAKES,"Grinding noise when braking at low speed. In addition, happened during normal city driving at around 71000 miles. dealer replaced rotors and pads under warranty."
319,FUEL SYSTEM,Fuel gauge reading is inconsistent with actual fuel level. smell was strong enough to be noticeable from outside the vehicle. fuel line was replaced under warranty.
89,ELECTRICAL SYSTEM,Infotainment screen goes black intermittently while driving. seems worse in humid weather. dealer replaced a wiring harness under warranty.
422,TRANSMISSION,Grinding noise when shifting into reverse. problem has occurred over 4 separate occasions. transmission was rebuilt under warranty.
530,STRUCTURE,Noticed visible rust forming along the frame rail. dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty.
373,AIRBAGS,"Passenger airbag indicator shows off even with a passenger seated. In addition, warning light has been on since around 8700 miles. scheduled for immediate inspection."
2,ENGINE,"The engine stalled without warning while driving at highway speed. Also, this happened at around 8700 miles. had to pull over immediately for safety."
254,SUSPENSION,Vehicle bounces excessively after hitting a pothole. started around 22000 miles. vehicle was deemed unsafe to drive until repaired.
181,STEERING,"Power steering assist cut out briefly while turning. Separately, dealer could not immediately duplicate the issue. resulted in an alignment and steering rack replacement."
493,STRUCTURE,"Paint is peeling near a body seam despite normal care. In addition, dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty."
411,AIRBAGS,"Airbag did not deploy during a low speed collision. In addition, dealer says a sensor may need replacement. scheduled for immediate inspection."
71,ELECTRICAL SYSTEM,Infotainment screen goes black intermittently while driving. seems worse in humid weather. dealer replaced a wiring harness under warranty.
321,FUEL SYSTEM,"Visible fuel leak near the fuel line was discovered. In addition, technician found a loose fuel line connection. fuel line was replaced under warranty."
214,STEERING,Clunking noise from the steering column when turning at low speed. dealer could not immediately duplicate the issue. made the vehicle difficult to control.
445,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. In addition, problem has occurred over 2 separate occasions. vehicle was undriveable until repaired."
253,SUSPENSION,"Loud clunking noise from the front suspension over bumps. Also, no prior accident or impact reported. component was replaced under warranty."
61,ELECTRICAL SYSTEM,Headlights dim and brighten on their own at low speed. started happening around 3200 miles. still unresolved after multiple visits.
464,TRANSMISSION,"Hard, jarring shift when accelerating from a stop. Also, worse when the transmission fluid is cold. vehicle was undriveable until repaired."
400,AIRBAGS,"Airbag did not deploy during a low speed collision. Separately, warning light has been on since around 22000 miles. scheduled for immediate inspection."
364,AIRBAGS,"Airbag deployed unexpectedly with no collision. Also, dealer says a sensor may need replacement. vehicle safety is a serious concern given non-deployment."
455,TRANSMISSION,"Transmission fluid was found leaking underneath the vehicle. In addition, dealer has adjusted the transmission software once already. transmission was rebuilt under warranty."
292,SUSPENSION,Clicking noise from the rear suspension at low speed. inspection found a worn suspension component. still being evaluated by the service department.
435,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. Separately, began around 8700 miles. vehicle was undriveable until repaired."
124,BRAKES,Abs warning light stays on continuously. this is the second brake-related complaint for this vehicle. dealer replaced rotors and pads under warranty.
443,TRANSMISSION,"Grinding noise when shifting into reverse. Separately, dealer has adjusted the transmission software once already. still under evaluation by the service department."
433,TRANSMISSION,Vehicle hesitates for a few seconds before engaging a gear. worse when the transmission fluid is cold. vehicle was undriveable until repaired.
578,TIRES,"Tire lost pressure repeatedly despite no visible puncture. Also, noticed at around 15400 miles. tire was replaced under manufacturer warranty."
141,BRAKES,"Vehicle pulled hard to one side when braking. In addition, happened during normal city driving at around 8700 miles. dealer replaced rotors and pads under warranty."
395,AIRBAGS,"Passenger airbag indicator shows off even with a passenger seated. Separately, warning light has been on since around 8700 miles. scheduled for immediate inspection."
334,FUEL SYSTEM,"Strong fuel smell noticed near the rear of the vehicle. Also, smell was strong enough to be noticeable from outside the vehicle. reported immediately due to safety concerns."
585,TIRES,"Sidewall bulge appeared on one tire with normal use. Separately, noticed at around 58200 miles. raised safety concerns about a blowout at highway speed."
521,STRUCTURE,Door does not close flush with the body panel. first noticed around 31500 miles. still awaiting a decision from the manufacturer.
246,SUSPENSION,Noticed uneven ride height on one side of the vehicle. inspection found a worn suspension component. component was replaced under warranty.
474,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. Also, dealer has adjusted the transmission software once already. still under evaluation by the service department."
320,FUEL SYSTEM,"Engine hesitates and stumbles under acceleration. Also, noticed at around 58200 miles. vehicle was not driven until inspected due to fire risk concerns."
600,TIRES,Tire showed unusual wear pattern well before expected tread life. noticed at around 22000 miles. still waiting on a warranty determination.
416,AIRBAGS,Airbag warning light stays illuminated on the dashboard. warning light has been on since around 8700 miles. vehicle safety is a serious concern given non-deployment.
313,FUEL SYSTEM,"Fuel gauge reading is inconsistent with actual fuel level. Also, noticed at around 8700 miles. reported immediately due to safety concerns."
593,TIRES,"Vibration at highway speed traced to an out-of-round tire. Also, tire pressure monitoring system flagged the issue first. still waiting on a warranty determination."
342,FUEL SYSTEM,"Strong fuel smell noticed near the rear of the vehicle. Separately, smell was strong enough to be noticeable from outside the vehicle. reported immediately due to safety concerns."
559,TIRES,"Vibration at highway speed traced to an out-of-round tire. In addition, all four tires were rotated and balanced with no improvement. tire was replaced under manufacturer warranty."
114,ELECTRICAL SYSTEM,"Vehicle would not start due to what the dealer called a wiring fault. In addition, no aftermarket electronics have been installed. left the driver stranded in a parking lot."
99,ELECTRICAL SYSTEM,"Interior lights stay on continuously and cannot be turned off. In addition, seems worse in humid weather. required replacing the battery twice."
251,SUSPENSION,Vehicle feels unstable and sways during turns. no prior accident or impact reported. still being evaluated by the service department.
32,ENGINE,Noticed a strong burning smell coming from the engine bay. dealer has seen the vehicle twice for this same issue. still waiting on a diagnosis from the service department.
517,STRUCTURE,"Creaking and popping noises from the body over bumps. Also, vehicle has never been in an accident. still awaiting a decision from the manufacturer."
98,ELECTRICAL SYSTEM,"Infotainment screen goes black intermittently while driving. Separately, problem has occurred at least several times so far. dealer replaced a wiring harness under warranty."
309,FUEL SYSTEM,"Engine hesitates and stumbles under acceleration. Separately, occurs mostly after refueling. reported immediately due to safety concerns."
406,AIRBAGS,Airbag did not deploy during a low speed collision. no diagnostic trouble code could be retrieved initially. vehicle safety is a serious concern given non-deployment.
594,TIRES,"Tire showed unusual wear pattern well before expected tread life. In addition, noticed at around 58200 miles. raised safety concerns about a blowout at highway speed."
336,FUEL SYSTEM,"Vehicle would not accept a full tank without shutting off early. Separately, smell was strong enough to be noticeable from outside the vehicle. reported immediately due to safety concerns."
484,STRUCTURE,"Noticed visible rust forming along the frame rail. Separately, vehicle has never been in an accident. still awaiting a decision from the manufacturer."
19,ENGINE,"The engine stalled without warning while driving at highway speed. In addition, problem is intermittent and hard to reproduce on demand. repair was covered under warranty."
500,STRUCTURE,"Noticed visible rust forming along the frame rail. Also, dealer attributed it to a manufacturing defect during inspection. raised concerns about long term structural integrity."
492,STRUCTURE,"Paint is peeling near a body seam despite normal care. Separately, dealer attributed it to a manufacturing defect during inspection. panel was replaced under warranty."
305,FUEL SYSTEM,"Strong fuel smell noticed near the rear of the vehicle. Also, noticed at around 3200 miles. vehicle was not driven until inspected due to fire risk concerns."
38,ENGINE,"The engine stalled without warning while driving at highway speed. In addition, problem occurs consistently in cold weather. this is the second engine-related repair this year."
535,STRUCTURE,Door does not close flush with the body panel. dealer attributed it to a manufacturing defect during inspection. raised concerns about long term structural integrity.
85,ELECTRICAL SYSTEM,"Headlights dim and brighten on their own at low speed. In addition, no aftermarket electronics have been installed. still unresolved after multiple visits."
9,ENGINE,White smoke coming from under the hood after about 10 minutes of driving. no warning lights appeared before the failure. had to pull over immediately for safety.
260,SUSPENSION,"Noticed uneven ride height on one side of the vehicle. Separately, started around 44800 miles. vehicle was deemed unsafe to drive until repaired."
477,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. Separately, worse when the transmission fluid is cold. still under evaluation by the service department."
128,BRAKES,"Brakes felt like they were not engaging at all for a moment. In addition, occurred during a panic stop situation. vehicle was taken in for emergency service."
384,AIRBAGS,Airbag did not deploy during a low speed collision. no diagnostic trouble code could be retrieved initially. recall campaign was mentioned as a possibility by the dealer.
385,AIRBAGS,"Airbag deployed unexpectedly with no collision. Separately, dealer says a sensor may need replacement. recall campaign was mentioned as a possibility by the dealer."
306,FUEL SYSTEM,"Strong fuel smell noticed near the rear of the vehicle. Separately, occurs mostly after refueling. reported immediately due to safety concerns."
56,ENGINE,Noticed a strong burning smell coming from the engine bay. dealer has seen the vehicle twice for this same issue. still waiting on a diagnosis from the service department.
312,FUEL SYSTEM,"Vehicle would not accept a full tank without shutting off early. Also, smell was strong enough to be noticeable from outside the vehicle. vehicle was not driven until inspected due to fire risk concerns."
259,SUSPENSION,Noticed uneven ride height on one side of the vehicle. started around 71000 miles. still being evaluated by the service department.
391,AIRBAGS,"Passenger airbag indicator shows off even with a passenger seated. In addition, no diagnostic trouble code could be retrieved initially. recall campaign was mentioned as a possibility by the dealer."
24,ENGINE,"The engine stalled without warning while driving at highway speed. In addition, this happened at around 22000 miles. had to pull over immediately for safety."
60,ENGINE,"White smoke coming from under the hood after about 10 minutes of driving. In addition, issue started about 1 months after purchase. vehicle was towed to the dealership."
3,ENGINE,"Noticed a strong burning smell coming from the engine bay. In addition, issue started about 6 months after purchase. still waiting on a diagnosis from the service department."
460,TRANSMISSION,"Vehicle hesitates for a few seconds before engaging a gear. In addition, dealer has adjusted the transmission software once already. transmission was rebuilt under warranty."
113,ELECTRICAL SYSTEM,"Vehicle would not start due to what the dealer called a wiring fault. In addition, problem has occurred at least 3 times so far. still unresolved after multiple visits."
249,SUSPENSION,Loud clunking noise from the front suspension over bumps. started around 58200 miles. component was replaced under warranty.
367,AIRBAGS,Passenger airbag indicator shows off even with a passenger seated. dealer says a sensor may need replacement. scheduled for immediate inspection.
290,SUSPENSION,"Vehicle feels unstable and sways during turns. Also, inspection found a worn suspension component. component was replaced under warranty."
388,AIRBAGS,"Airbag warning light stays illuminated on the dashboard. Separately, no diagnostic trouble code could be retrieved initially. recall campaign was mentioned as a possibility by the dealer."
27,ENGINE,"Engine would not turn over despite a fully charged battery. In addition, problem occurs consistently in cold weather. still waiting on a diagnosis from the service department."
48,ENGINE,"Check engine light came on and the vehicle started running rough. Separately, problem occurs consistently in cold weather. had to pull over immediately for safety."
418,AIRBAGS,"Airbag did not deploy during a low speed collision. Also, warning light has been on since around 58200 miles. scheduled for immediate inspection."
225,STEERING,"Clunking noise from the steering column when turning at low speed. In addition, happens mostly on rough road surfaces. resulted in an alignment and steering rack replacement."
13,ENGINE,"Noticed a strong burning smell coming from the engine bay. Also, problem is intermittent and hard to reproduce on demand. still waiting on a diagnosis from the service department."
39,ENGINE,"Check engine light came on and the vehicle started running rough. Separately, dealer has seen the vehicle twice for this same issue. had to pull over immediately for safety."
263,SUSPENSION,Loud clunking noise from the front suspension over bumps. started around 22000 miles. vehicle was deemed unsafe to drive until repaired.
522,STRUCTURE,Noticed visible rust forming along the frame rail. vehicle has never been in an accident. panel was replaced under warranty.
378,AIRBAGS,"Airbag did not deploy during a low speed collision. In addition, warning light has been on since around 44800 miles. recall campaign was mentioned as a possibility by the dealer."
126,BRAKES,"Vehicle pulled hard to one side when braking. In addition, occurred during a panic stop situation. dealer replaced rotors and pads under warranty."
557,TIRES,Tire lost pressure repeatedly despite no visible puncture. noticed at around 15400 miles. tire was replaced under manufacturer warranty.
563,TIRES,"Vibration at highway speed traced to an out-of-round tire. Also, all four tires were rotated and balanced with no improvement. raised safety concerns about a blowout at highway speed."
376,AIRBAGS,Passenger airbag indicator shows off even with a passenger seated. warning light has been on since around 71000 miles. scheduled for immediate inspection.
116,ELECTRICAL SYSTEM,Infotainment screen goes black intermittently while driving. seems worse in humid weather. still unresolved after multiple visits.
399,AIRBAGS,"Passenger airbag indicator shows off even with a passenger seated. Also, warning light has been on since around 31500 miles. recall campaign was mentioned as a possibility by the dealer."
283,SUSPENSION,Clicking noise from the rear suspension at low speed. no prior accident or impact reported. vehicle was deemed unsafe to drive until repaired.
164,BRAKES,"Abs warning light stays on continuously. In addition, inspection found uneven wear on the rotors. dealer replaced rotors and pads under warranty."
568,TIRES,Sidewall bulge appeared on one tire with normal use. noticed at around 15400 miles. tire was replaced under manufacturer warranty.
424,TRANSMISSION,"Transmission fluid was found leaking underneath the vehicle. Also, worse when the transmission fluid is cold. vehicle was undriveable until repaired."
35,ENGINE,Engine lost power suddenly and would not accelerate. problem occurs consistently in cold weather. had to pull over immediately for safety.
47,ENGINE,Engine makes a loud knocking noise on cold start. dealer has seen the vehicle twice for this same issue. this is the second engine-related repair this year.
304,FUEL SYSTEM,"Engine hesitates and stumbles under acceleration. Also, occurs mostly after refueling. reported immediately due to safety concerns."
219,STEERING,"Vehicle wandered on the highway and required constant correction. In addition, steering fluid level was found to be low on inspection. made the vehicle difficult to control."
329,FUEL SYSTEM,"Fuel gauge reading is inconsistent with actual fuel level. Separately, smell was strong enough to be noticeable from outside the vehicle. fuel line was replaced under warranty."
106,ELECTRICAL SYSTEM,Power windows stopped working on both driver and passenger side. no aftermarket electronics have been installed. left the driver stranded in a parking lot.
428,TRANSMISSION,"Transmission fluid was found leaking underneath the vehicle. In addition, worse when the transmission fluid is cold. vehicle was undriveable until repaired."
361,AIRBAGS,Airbag deployed unexpectedly with no collision. no diagnostic trouble code could be retrieved initially. recall campaign was mentioned as a possibility by the dealer.
556,TIRES,"Vibration at highway speed traced to an out-of-round tire. Also, noticed at around 8700 miles. raised safety concerns about a blowout at highway speed."
461,TRANSMISSION,Grinding noise when shifting into reverse. dealer has adjusted the transmission software once already. transmission was rebuilt under warranty.
